Nome,Coluna,Variavel,Apath 4.00,Tipo,CompWhere,Tamanho banco,Apath tabela,Apath tabela pai
fq72300,nfq720652,id,nfeProc/NFe/infNFe/@Id,String,,50,nfeProc/NFe/infNFe,
fq72300,nfq720702,ideCuf,nfeProc/NFe/infNFe/ide/cUF,String,,2,,
fq72300,nfq720703,ideCnf,nfeProc/NFe/infNFe/ide/cNF,Integer,,11,,
fq72300,nfq720704,ideNatOp,nfeProc/NFe/infNFe/ide/natOp,String,,255,,
fq72300,nfq720705,ideIndPag,-,String,,1,,
fq72300,nfq720706,ideMod,nfeProc/NFe/infNFe/ide/mod,String,,20,,
fq72300,nfq720707,ideSerie,nfeProc/NFe/infNFe/ide/serie,String,,5,,
fq72300,nfq720708,ideNnf,nfeProc/NFe/infNFe/ide/nNF,String,,11,,
fq72300,nfq720709,ideDhEmi,nfeProc/NFe/infNFe/ide/dhEmi,Date,,20,,
fq72300,nfq720710,ideSaiEnt,nfeProc/NFe/infNFe/ide/dhSaiEnt,Date,,20,,
fq72300,nfq720711,ideHsaiEnt,nfeProc/NFe/infNFe/ide/dhSaiEnt,Time,,20,,
fq72300,nfq720712,ideTpNf,nfeProc/NFe/infNFe/ide/tpNF,String,,1,,
fq72300,nfq720713,ideCmunFg,nfeProc/NFe/infNFe/ide/cMunFG,String,,10,,
fq72300,nfq720714,ideTpImp,nfeProc/NFe/infNFe/ide/tpImp,String,,1,,
fq72300,nfq720715,ideTpEmis,nfeProc/NFe/infNFe/ide/tpEmis,String,,1,,
fq72300,nfq720716,ideCdv,nfeProc/NFe/infNFe/ide/cDV,String,,1,,
fq72300,nfq720717,ideTpAmb,nfeProc/NFe/infNFe/ide/tpAmb,Integer,,1,,
fq72300,nfq720718,ideFinNfe,nfeProc/NFe/infNFe/ide/finNFe,Integer,,1,,
fq72300,nfq720719,ideProcEmi,nfeProc/NFe/infNFe/ide/procEmi,Integer,,1,,
fq72300,nfq720720,ideVerProc,nfeProc/NFe/infNFe/ide/verProc,String,,25,,
fq72300,nfq720721,ideDhCont,nfeProc/NFe/infNFe/ide/dhCont,String,,20,,
fq72300,nfq720723,ideXjust,nfeProc/NFe/infNFe/ide/xJust,String,,300,,
fq72300,nfq720724,icmsVbc,nfeProc/NFe/infNFe/total/ICMSTot/vBC,Decimal,,15,,
fq72300,nfq720725,icmsVICMS,nfeProc/NFe/infNFe/total/ICMSTot/vICMS,Decimal,,15,,
fq72300,nfq720726,icmsVbcst,nfeProc/NFe/infNFe/total/ICMSTot/vBCST,Decimal,,15,,
fq72300,nfq720727,icmsVst,nfeProc/NFe/infNFe/total/ICMSTot/vST,Decimal,,15,,
fq72300,nfq720728,icmsVprod,nfeProc/NFe/infNFe/total/ICMSTot/vProd,Decimal,,15,,
fq72300,nfq720729,icmsVfrete,nfeProc/NFe/infNFe/total/ICMSTot/vFrete,Decimal,,15,,
fq72300,nfq720730,icmsVseg,nfeProc/NFe/infNFe/total/ICMSTot/vSeg,Decimal,,15,,
fq72300,nfq720731,icmsVdesc,nfeProc/NFe/infNFe/total/ICMSTot/vDesc,Decimal,,15,,
fq72300,nfq720732,icmsVii,nfeProc/NFe/infNFe/total/ICMSTot/vII,Decimal,,15,,
fq72300,nfq720733,icmsVipi,nfeProc/NFe/infNFe/total/ICMSTot/vIPI,Decimal,,15,,
fq72300,nfq720734,icmsProdVpis,nfeProc/NFe/infNFe/total/ICMSTot/vPIS,Decimal,,15,,
fq72300,nfq720735,icmsVcofins,nfeProc/NFe/infNFe/total/ICMSTot/vCOFINS,Decimal,,15,,
fq72300,nfq720736,icmsVoutro,nfeProc/NFe/infNFe/total/ICMSTot/vOutro,Decimal,,15,,
fq72300,nfq720737,icmsVnf,nfeProc/NFe/infNFe/total/ICMSTot/vNF,Decimal,,15,,
fq72300,nfq720738,icmsVserv,nfeProc/NFe/infNFe/total/ISSQNtot/vServ,Decimal,,15,,
fq72300,nfq720739,icmsVbc,nfeProc/NFe/infNFe/total/ISSQNtot/vBC,Decimal,,15,,
fq72300,nfq720740,icmsViss,nfeProc/NFe/infNFe/total/ISSQNtot/vISS,Decimal,,15,,
fq72300,nfq720741,icmsVpis,nfeProc/NFe/infNFe/total/ISSQNtot/vPIS,Decimal,,15,,
fq72300,nfq720742,icmsServVcofins,nfeProc/NFe/infNFe/total/ISSQNtot/vCOFINS,Decimal,,15,,
fq72300,nfq720743,cRegTribVRetpis,nfeProc/NFe/infNFe/total/retTrib/vRetPIS,Decimal,,15,,
fq72300,nfq720744,cRegTribVretcofins,nfeProc/NFe/infNFe/total/retTrib/vRetCOFINS,Decimal,,15,,
fq72300,nfq720745,cRegTribVretcsll,nfeProc/NFe/infNFe/total/retTrib/vRetCSLL,Decimal,,15,,
fq72300,nfq720746,cRegTribVbcirrf,nfeProc/NFe/infNFe/total/retTrib/vBCIRRF,Decimal,,15,,
fq72300,nfq720747,cRegTribVirrf,nfeProc/NFe/infNFe/total/retTrib/vIRRF,Decimal,,15,,
fq72300,nfq720748,cRegTribVbcRetPrev,nfeProc/NFe/infNFe/total/retTrib/vBCRetPrev,Decimal,,15,,
fq72300,nfq720749,cRegTribVRetPrev,nfeProc/NFe/infNFe/total/retTrib/vRetPrev,Decimal,,15,,
fq72300,nfq720750,transpModFrete,nfeProc/NFe/infNFe/transp/modFrete,String,,1,,
fq72300,nfq720751,transpVserv,nfeProc/NFe/infNFe/transp/retTransp/vServ,Decimal,,15,,
fq72300,nfq720752,transpVbcRet,nfeProc/NFe/infNFe/transp/retTransp/vBCRet,Decimal,,15,,
fq72300,nfq720753,transpPicmsRet,nfeProc/NFe/infNFe/transp/retTransp/pICMSRet,Integer,,8,,
fq72300,nfq720754,transpVicmsRet,nfeProc/NFe/infNFe/transp/retTransp/vICMSRet,Decimal,,15,,
fq72300,nfq720755,transpCfop,nfeProc/NFe/infNFe/transp/retTransp/CFOP,String,,4,,
fq72300,nfq720756,transpCmunFg,nfeProc/NFe/infNFe/transp/retTransp/cMunFG,String,,7,,
fq72300,nfq720757,transpPlaca,nfeProc/NFe/infNFe/transp/veicTransp/placa,String,,10,,
fq72300,nfq720758,transpUf,nfeProc/NFe/infNFe/transp/veicTransp/UF,String,,2,,
fq72300,nfq720759,transpRntc,nfeProc/NFe/infNFe/transp/veicTransp/RNTC,String,,20,,
fq72300,nfq720760,cobrNfat,nfeProc/NFe/infNFe/cobr/fat/nFat,String,,60,,
fq72300,nfq720761,cobrVorig,nfeProc/NFe/infNFe/cobr/fat/vOrig,Decimal,,15,,
fq72300,nfq720762,cobrVdesc,nfeProc/NFe/infNFe/cobr/fat/vDesc,Decimal,,15,,
fq72300,nfq720763,cobrVliq,nfeProc/NFe/infNFe/cobr/fat/vLiq,Decimal,,15,,
fq72300,nfq720764,infAdicFisco,nfeProc/NFe/infNFe/infAdic/infAdFisco,String,,2000,,
fq72300,nfq720765,InfAdicCpl,nfeProc/NFe/infNFe/infAdic/infCpl,String,,4000,,
fq72300,nfq720766,exportaUfEmbarq,-,String,,2,,
fq72300,nfq720767,exportaXlocEmbarq,-,String,,60,,
fq72300,nfq720768,compraXnEmp,-,String,,22,,
fq72300,nfq720769,xPed,nfeProc/NFe/infNFe/compra/xPed,String,,60,,
fq72300,nfq720770,xCont,nfeProc/NFe/infNFe/compra/xCont,String,,60,,
fq72300,nfq721201,ideDhEmi,nfeProc/NFe/infNFe/ide/dhEmi,Date Time,,25,,
fq72300,nfq721202,ideDhSainEnt,nfeProc/NFe/infNFe/ide/dhSaiEnt,Date Time,,25,,
fq72300,nfq721203,ideIdDest,nfeProc/NFe/infNFe/ide/idDest,Integer,,1,,
fq72300,nfq721204,ideIndFinal,nfeProc/NFe/infNFe/ide/indFinal,Integer,,1,,
fq72300,nfq721205,ideIndPres,nfeProc/NFe/infNFe/ide/indPres,Integer,,1,,
fq72300,nfq721240,icmsDeson,nfeProc/NFe/infNFe/total/ICMSTot/vICMSDeson,Decimal,,15,,
fq72300,nfq721241,issqnDcompet,nfeProc/NFe/infNFe/total/ISSQNtot/dCompet,String,,8,,
fq72300,nfq721242,issqnVdeducao,nfeProc/NFe/infNFe/total/ISSQNtot/vDeducao,Decimal,,15,,
fq72300,nfq721243,issqnVoutro,nfeProc/NFe/infNFe/total/ISSQNtot/vOutro,Decimal,,15,,
fq72300,nfq721244,issqnVdescIncond,nfeProc/NFe/infNFe/total/ISSQNtot/vDescIncond,Decimal,,15,,
fq72300,nfq721245,issqnVDescCond,nfeProc/NFe/infNFe/total/ISSQNtot/vDescCond,Decimal,,15,,
fq72300,nfq721246,issqnVissRet,nfeProc/NFe/infNFe/total/ISSQNtot/vISSRet,Decimal,,15,,
fq72300,nfq721247,issqnCregTrib,nfeProc/NFe/infNFe/total/ISSQNtot/cRegTrib,Integer,,2,,
fq72300,nfq721310,icmsVfcpufDest,nfeProc/NFe/infNFe/total/ICMSTot/vFCPUFDest,Decimal,,13,,
fq72300,nfq721311,icmsVicmsufDest,nfeProc/NFe/infNFe/total/ICMSTot/vICMSUFDest,Decimal,,13,,
fq72300,nfq721312,icmsVicmsufRemet,nfeProc/NFe/infNFe/total/ICMSTot/vICMSUFRemet,Decimal,,13,,
fq72300,nfq722411,icmsVfcp,nfeProc/NFe/infNFe/total/ICMSTot/vFCP,Decimal,,15,,
fq72300,nfq722414,icmsVfcpst,nfeProc/NFe/infNFe/total/ICMSTot/vFCPST,Decimal,,15,,
